er30001,er30002,sex,er32022,er32049,er30733,er30734,er30735,age,education,earnings,hours,id,lnearns,aveearnings,edcat,aveearnsbyed,d1,d2,d3,eddummy1,eddummy2,eddummy3,eddummy4,d1education,aveage,agedemean,agesqdemean
4,3,male,2,1,2482,1,10,40,9,22000,2340,1.0,9.998797,28706.646,1,15274.12,1.0,1.0,1,1,0,0,0,9.0,38.37995337995338,1.6200466200466224,2.6245510511244854
4,170,male,2,1,6974,1,10,37,12,31468,2008,2.0,10.356727,28706.646,2,23669.322,1.0,1.0,1,0,1,0,0,12.0,38.37995337995338,-1.3799533799533776,1.904271330844751
4,172,male,2,4,6662,1,10,43,16,38708,3240,3.0,10.563802,28706.646,4,42958.066,1.0,1.0,1,0,0,0,1,16.0,38.37995337995338,4.620046620046622,21.34483077140422
4,175,male,2,4,6201,1,10,32,12,40000,2200,4.0,10.596635,28706.646,2,23669.322,1.0,1.0,1,0,1,0,0,12.0,38.37995337995338,-6.379953379953378,40.70380513037853
5,1,male,5,1,4600,1,10,48,9,0,0,5.0,,28706.646,1,15274.12,0.0,0.0,0,1,0,0,0,0.0,38.37995337995338,9.620046620046622,92.54529697187044
5,3,male,2,1,4425,1,10,30,12,3265,552,6.0,8.091015,28706.646,2,23669.322,1.0,1.0,1,0,1,0,0,12.0,38.37995337995338,-8.379953379953378,70.22361865019204
5,171,male,99,1,4335,1,10,45,11,18000,2286,7.0,9.798127,28706.646,1,17138.35,1.0,1.0,1,1,0,0,0,11.0,38.37995337995338,6.620046620046622,43.82501725159071
6,6,male,3,1,1688,1,10,37,17,71750,3750,8.0,11.1809435,28706.646,4,61170.023,1.0,1.0,1,0,0,0,1,17.0,38.37995337995338,-1.3799533799533776,1.904271330844751
6,170,male,3,1,1077,1,10,47,11,19426,2016,9.0,9.874368,28706.646,1,17138.35,1.0,1.0,1,1,0,0,0,11.0,38.37995337995338,8.620046620046622,74.3052037317772
7,3,male,3,1,1584,1,10,38,12,4000,2288,10.0,8.294049,28706.646,2,23669.322,1.0,1.0,1,0,1,0,0,12.0,38.37995337995338,-0.37995337995337763,0.14436457093799576
7,5,male,5,5,1178,1,10,34,10,0,0,11.0,,28706.646,1,15501.527,0.0,0.0,0,1,0,0,0,0.0,38.37995337995338,-4.379953379953378,19.183991610565016
10,5,male,1,5,8908,1,10,33,11,30000,2860,12.0,10.308952,28706.646,1,17138.35,1.0,1.0,1,1,0,0,0,11.0,38.37995337995338,-5.379953379953378,28.94389837047177
10,21,male,4,4,5730,1,10,45,13,24000,2820,13.0,10.085809,28706.646,3,25369.125,1.0,1.0,1,0,0,1,0,13.0,38.37995337995338,6.620046620046622,43.82501725159071
10,176,male,3,5,4683,1,10,30,15,14400,2290,14.0,9.574984,28706.646,3,35961.016,1.0,1.0,1,0,0,1,0,15.0,38.37995337995338,-8.379953379953378,70.22361865019204
11,3,male,99,4,5432,1,10,39,12,30000,2000,15.0,10.308952,28706.646,2,23669.322,1.0,1.0,1,0,1,0,0,12.0,38.37995337995338,0.6200466200466224,0.3844578110312405
13,170,male,3,1,1238,1,10,43,12,69000,2100,16.0,11.141862,28706.646,2,23669.322,1.0,1.0,1,0,1,0,0,12.0,38.37995337995338,4.620046620046622,21.34483077140422
13,176,male,2,1,100,1,10,38,12,50430,1838,17.0,10.8283415,28706.646,2,23669.322,1.0,1.0,1,0,1,0,0,12.0,38.37995337995338,-0.37995337995337763,0.14436457093799576
14,173,male,2,1,1742,1,10,30,17,30000,1720,18.0,10.308952,28706.646,4,61170.023,1.0,1.0,1,0,0,0,1,17.0,38.37995337995338,-8.379953379953378,70.22361865019204
16,170,male,2,1,4476,1,10,34,12,34000,2744,19.0,10.434115,28706.646,2,23669.322,1.0,1.0,1,0,1,0,0,12.0,38.37995337995338,-4.379953379953378,19.183991610565016
16,172,male,2,1,8623,1,10,33,12,22000,2304,20.0,9.998797,28706.646,2,23669.322,1.0,1.0,1,0,1,0,0,12.0,38.37995337995338,-5.379953379953378,28.94389837047177
18,3,male,2,4,2363,1,10,35,12,50300,2503,21.0,10.82576,28706.646,2,23669.322,1.0,1.0,1,0,1,0,0,12.0,38.37995337995338,-3.3799533799533776,11.42408485065826
18,4,male,3,1,2344,1,10,38,12,32629,2400,22.0,10.392957,28706.646,2,23669.322,1.0,1.0,1,0,1,0,0,12.0,38.37995337995338,-0.37995337995337763,0.14436457093799576
18,5,male,2,4,1682,1,10,39,12,25927,1974,23.0,10.16304,28706.646,2,23669.322,1.0,1.0,1,0,1,0,0,12.0,38.37995337995338,0.6200466200466224,0.3844578110312405
18,21,male,2,1,7760,1,10,45,13,44000,2358,24.0,10.691945,28706.646,3,25369.125,1.0,1.0,1,0,0,1,0,13.0,38.37995337995338,6.620046620046622,43.82501725159071
19,3,male,99,2,6735,1,10,40,12,9844,1764,25.0,9.194617,28706.646,2,23669.322,1.0,1.0,1,0,1,0,0,12.0,38.37995337995338,1.6200466200466224,2.6245510511244854
23,170,male,2,1,1790,2,50,44,12,3872,198,26.0,8.261526,28706.646,2,23669.322,1.0,1.0,1,0,1,0,0,12.0,38.37995337995338,5.620046620046622,31.584924011497463
39,1,male,2,1,8105,1,10,47,17,14148,2842,27.0,9.557328,28706.646,4,61170.023,1.0,1.0,1,0,0,0,1,17.0,38.37995337995338,8.620046620046622,74.3052037317772
39,170,male,1,1,4918,1,10,30,14,30000,1968,28.0,10.308952,28706.646,3,30879.586,1.0,1.0,1,0,0,1,0,14.0,38.37995337995338,-8.379953379953378,70.22361865019204
40,3,male,3,1,135,1,10,31,12,37000,2004,29.0,10.518673,28706.646,2,23669.322,1.0,1.0,1,0,1,0,0,12.0,38.37995337995338,-7.379953379953378,54.46371189028528
40,171,male,3,4,10,1,10,30,12,35300,1985,30.0,10.471639,28706.646,2,23669.322,1.0,1.0,1,0,1,0,0,12.0,38.37995337995338,-8.379953379953378,70.22361865019204
41,3,male,2,4,8276,1,10,38,12,32995,990,31.0,10.404111,28706.646,2,23669.322,1.0,1.0,1,0,1,0,0,12.0,38.37995337995338,-0.37995337995337763,0.14436457093799576
45,173,male,1,1,2146,1,10,36,8,17000,2080,32.0,9.740969,28706.646,1,14200.359,1.0,1.0,1,1,0,0,0,8.0,38.37995337995338,-2.3799533799533776,5.6641780907515065
47,170,male,2,1,2222,1,10,31,12,0,0,33.0,,28706.646,2,23669.322,0.0,0.0,0,0,1,0,0,0.0,38.37995337995338,-7.379953379953378,54.46371189028528
50,3,male,2,1,5307,1,10,32,12,20000,2096,34.0,9.903487,28706.646,2,23669.322,1.0,1.0,1,0,1,0,0,12.0,38.37995337995338,-6.379953379953378,40.70380513037853
50,170,male,2,1,7002,1,10,32,16,62000,1960,35.0,11.034889,28706.646,4,42958.066,1.0,1.0,1,0,0,0,1,16.0,38.37995337995338,-6.379953379953378,40.70380513037853
51,1,male,1,1,64,1,10,50,12,23000,2000,36.0,10.043249,28706.646,2,23669.322,1.0,1.0,1,0,1,0,0,12.0,38.37995337995338,11.620046620046622,135.02548345205693
53,3,male,3,1,554,1,10,34,11,24500,2460,37.0,10.106428,28706.646,1,17138.35,1.0,1.0,1,1,0,0,0,11.0,38.37995337995338,-4.379953379953378,19.183991610565016
53,5,male,99,1,1,1,10,32,9,24000,3060,38.0,10.085809,28706.646,1,15274.12,1.0,1.0,1,1,0,0,0,9.0,38.37995337995338,-6.379953379953378,40.70380513037853
53,7,male,99,1,563,1,10,31,12,14148,2296,39.0,9.557328,28706.646,2,23669.322,1.0,1.0,1,0,1,0,0,12.0,38.37995337995338,-7.379953379953378,54.46371189028528
